latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_since_last_review,has_been_reviewed,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room
40.75562,-73.99539,30.0,8,0.71,47,351,48,1,False,True,False,False,True,False
40.71002,-73.96114,30.0,25,0.82,3,342,50,1,True,False,False,False,False,False
40.7528,-73.97092,12.0,4,1.38,1,118,46,1,False,True,False,False,False,False
40.71813,-73.95981,2.0,51,0.91,1,147,23,1,True,False,False,False,False,False
40.82914,-73.94736,4.0,153,4.74,2,125,7,1,False,True,False,False,True,False
40.73898,-73.98233,2.0,18,0.81,1,0,36,1,False,True,False,False,False,False
40.6612,-73.98568,45.0,3,0.08,1,0,456,1,True,False,False,False,False,False
40.72493,-74.00307,3.0,73,0.94,1,44,3,1,False,True,False,False,False,False
40.70618,-73.91689,30.0,1,0.09,1,6,323,1,True,False,False,False,False,False
40.7045,-73.94357,6.0,5,2.17,1,40,15,1,True,False,False,False,False,False
40.69617,-73.97456,1.0,24,3.09,2,72,32,1,True,False,False,False,True,False
40.7385,-74.00378,1.0,0,0.0,1,0,18085,0,False,True,False,False,False,False
40.68753,-73.93656,5.0,82,1.41,1,0,188,1,True,False,False,False,False,False
40.77975,-73.94977,1.0,160,1.9,1,319,11,1,False,True,False,False,True,False
40.70088,-73.91836,3.0,22,0.98,2,0,93,1,True,False,False,False,True,False
40.81033,-73.94286,3.0,30,2.59,1,159,19,1,False,True,False,False,False,False
40.65862,-73.95808,2.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.71624,-73.99995,2.0,35,4.32,1,6,12,1,False,True,False,False,True,False
40.80244,-73.96592,1.0,1,0.48,2,363,61,1,False,True,False,False,False,True
40.6585,-73.98397,2.0,21,0.26,1,272,52,1,True,False,False,False,True,False
40.84103,-73.94063,30.0,3,0.26,34,311,213,1,False,True,False,False,True,False
40.65329,-73.92756,7.0,1,0.11,1,179,283,1,True,False,False,False,False,True
40.76142,-73.99431,3.0,1,1.0,1,5,16,1,False,True,False,False,False,False
40.64644,-73.9756,1.0,10,0.21,1,0,191,1,True,False,False,False,False,False
40.6999,-73.92417,14.0,0,0.0,1,31,18085,0,True,False,False,False,True,False
40.69971,-73.93729,2.0,46,1.92,1,19,13,1,True,False,False,False,False,False
40.82692,-73.92183,5.0,46,1.55,1,174,36,1,False,False,False,False,True,False
40.62398,-74.02786,1.0,0,0.0,2,179,18085,0,True,False,False,False,True,False
40.81165,-73.95639,9.0,7,0.15,1,0,692,1,False,True,False,False,True,False
40.75224,-73.99487,3.0,164,2.34,1,27,14,1,False,True,False,False,True,False
40.7952,-73.9624,1.0,280,3.51,1,246,15,1,False,True,False,False,True,False
40.84411,-73.93764,2.0,3,0.07,1,0,1157,1,False,True,False,False,True,False
40.75462,-73.88284,2.0,13,0.3,1,288,106,1,False,False,True,False,False,False
40.76269,-73.99364,30.0,4,0.23,20,272,159,1,False,True,False,False,False,False
